antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,1029.030546,False,False,False,False,False,False,False,True,True,False,False,True,,False,FALSE,False,,,False,False,False,,,False,,,Dispensary,,healthpostdispensary,False,False,False,False,1336127558050.jpg,8.94161632 11.79503279 505.70001220703125 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Zing,772,772,772.0,False,False,False,False,False,False,False,False,False,False,FALSE,zing,taraba,northeast,3,3,0.0,0.0,0.0,0.0,False,public,,False,1336127558050.jpg,127363,123.769892444,,False,False,health,False,TRUE,Taraba,False,,Others,FALSE,taraba_zing,False,b1dd9722-866a-4d67-b1b4-fe51d30e81e9,,,b1dd9722-866a-4d67-b1b4-fe51d30e81e9,Northeast
False,1029.030546,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,False,False,,,False,,True,DISPENSARY OUT POST,,healthpostdispensary,False,,False,,1336230209426.jpg,8.72228967 11.77660744 1105.0999755859375 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Zing,772,772,772.0,False,True,False,False,False,False,False,False,False,False,FALSE,zing,taraba,northeast,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1336230209426.jpg,127363,123.769892444,False,False,False,health,False,TRUE,Taraba,,,Others,FALSE,taraba_zing,False,076a6eb0-8422-4279-b536-3b3b7d4b23c5,,,076a6eb0-8422-4279-b536-3b3b7d4b23c5,Northeast
False,1029.030546,False,False,False,False,False,False,False,False,True,True,False,True,,False,FALSE,False,,,False,False,False,,,False,,,Dispensary,,healthpostdispensary,False,,False,,1336152194701.jpg,8.87483023 11.77518171 507.8999938964844 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Zing,772,772,772.0,False,True,False,False,False,False,False,False,False,False,FALSE,zing,taraba,northeast,1,1,0.0,0.0,0.0,0.0,False,public,,False,1336152194701.jpg,127363,123.769892444,,False,False,health,False,TRUE,Taraba,,,Others,FALSE,taraba_zing,False,d7014813-3d71-4a84-b7d0-d8f4fc0e4306,,,d7014813-3d71-4a84-b7d0-d8f4fc0e4306,Northeast
False,1029.030546,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,False,False,,,False,,True,Dispensary,,healthpostdispensary,False,,False,,1293801617999.jpg,9.00813715 11.70521485 569.4000244140625 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Zing,772,772,772.0,False,True,False,False,False,False,False,False,False,False,FALSE,zing,taraba,northeast,4,3,0.0,0.0,0.0,0.0,False,public,,False,1293801617999.jpg,127363,123.769892444,False,False,False,health,False,TRUE,Taraba,,,Others,FALSE,taraba_zing,False,f1326922-3022-408f-94c9-6cce0b49cd0c,,,f1326922-3022-408f-94c9-6cce0b49cd0c,Northeast
False,1029.030546,False,False,False,False,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Tunapo despensry,FALSE,healthpostdispensary,False,,False,,1336468649182.jpg,9.01618594 11.77064066 493.0 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Zing,772,772,772.0,False,True,False,True,False,False,False,False,False,False,FALSE,zing,taraba,northeast,1,1,,,0.0,,False,public,False,False,1336468649182.jpg,127363,123.769892444,,False,False,health,False,TRUE,Taraba,,False,Others,FALSE,taraba_zing,False,806a872d-697a-48f5-9252-2412ed4b2da3,,,806a872d-697a-48f5-9252-2412ed4b2da3,Northeast
False,1029.030546,False,False,False,True,False,True,False,False,True,False,False,True,,False,FALSE,False,,,False,False,False,,,False,,,Dispensitry,,healthpostdispensary,False,,False,,1336047141038.jpg,8.84685318 11.73971392 516.9000244140625 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Zing,772,772,772.0,False,False,False,False,False,False,False,False,False,False,FALSE,zing,taraba,northeast,0,0,0.0,0.0,0.0,0.0,False,public,False,False,1336047141038.jpg,127363,123.769892444,,False,False,health,False,TRUE,Taraba,,,Others,FALSE,taraba_zing,False,4c58c64f-3278-4b95-a741-7d486ff3e10a,,,4c58c64f-3278-4b95-a741-7d486ff3e10a,Northeast
False,1029.030546,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Kakulu Dispensary,FALSE,healthpostdispensary,False,,False,,1336382176061.jpg,8.98261673 11.71771033 628.5999755859375 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Zing,772,772,772.0,False,True,False,True,False,False,False,False,False,False,FALSE,zing,taraba,northeast,2,1,0.0,0.0,0.0,0.0,False,public,False,False,1336382176061.jpg,127363,123.769892444,,False,False,health,False,TRUE,Taraba,,,Others,FALSE,taraba_zing,False,4514e094-0542-4bfa-9b7d-b0b0ee0c7edc,,,4514e094-0542-4bfa-9b7d-b0b0ee0c7edc,Northeast
False,1029.030546,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,False,False,False,,True,Dogwe dispensry,TRUE,primaryhealthcarecentre,False,,False,,1336126907167.jpg,8.78999753 11.69557092 610.7000122070313 5.0,False,True,FALSE,False,True,False,False,FALSE,True,False,False,False,False,False,False,False,Zing,772,772,772.0,False,True,False,True,False,False,False,False,False,False,FALSE,zing,taraba,northeast,1,1,,,0.0,,False,public,,False,1336126907167.jpg,127363,123.769892444,,False,False,health,False,TRUE,Taraba,,False,Others,FALSE,taraba_zing,False,8821249d-6619-4ff0-946d-4d0e0fc42475,,,8821249d-6619-4ff0-946d-4d0e0fc42475,Northeast
False,1029.030546,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,Dispensary,,healthpostdispensary,False,,False,,1336040879718.jpg,8.8467495 11.76151382 500.6000061035156 5.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Zing,772,772,772.0,False,True,False,False,False,False,False,False,False,False,FALSE,zing,taraba,northeast,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1336040879718.jpg,127363,123.769892444,,False,False,health,False,TRUE,Taraba,,,Others,FALSE,taraba_zing,False,1b8e71d4-8fc3-4b3b-80df-0d21c5e43943,,,1b8e71d4-8fc3-4b3b-80df-0d21c5e43943,Northeast
False,1029.030546,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,,,False,,True,Dispensary,,healthpostdispensary,False,,False,,1293796499679.jpg,8.99439984 11.68611314 600.4000244140625 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Zing,772,772,772.0,False,True,False,False,False,False,False,False,False,False,FALSE,zing,taraba,northeast,6,4,0.0,2.0,0.0,0.0,False,public,False,False,1293796499679.jpg,127363,123.769892444,,False,False,health,False,TRUE,Taraba,,,Others,FALSE,taraba_zing,False,90450537-7250-40f4-8708-ce3cb2b93671,,,90450537-7250-40f4-8708-ce3cb2b93671,Northeast
False,1029.030546,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,,,False,,True,OUT POST DISPENSARY,,healthpostdispensary,False,,False,,1336293666770.jpg,8.75712928 11.81691478 502.70001220703125 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Zing,772,772,772.0,False,True,False,False,False,False,False,False,False,False,FALSE,zing,taraba,northeast,1,1,0.0,0.0,0.0,0.0,False,public,,False,1336293666770.jpg,127363,123.769892444,False,False,False,health,False,TRUE,Taraba,,,Others,FALSE,taraba_zing,False,d1472780-1831-4348-972a-59562b098165,,,d1472780-1831-4348-972a-59562b098165,Northeast
False,1029.030546,False,False,False,True,False,True,False,False,True,True,False,True,,False,FALSE,False,0.000461673802102,0.0510750530047,False,True,False,,,False,,,JAGAMPO MATERNITY,FALSE,maternity,False,True,False,False,1336059614632.jpg,9.04063597 11.76121624 526.4000244140625 5.0,False,True,FALSE,False,True,True,False,TRUE,,False,False,False,False,False,False,False,Zing,772,772,496.0,False,True,False,True,False,False,False,False,False,False,FALSE,zing,taraba,northeast,2,2,0.0,0.0,0.0,0.0,False,public,False,False,1336059614632.jpg,127363,123.769892444,True,False,False,health,False,TRUE,Taraba,False,False,Others,FALSE,taraba_zing,False,c35d5ad7-dc1a-4f9e-8713-839005943423,,,c35d5ad7-dc1a-4f9e-8713-839005943423,Northeast
False,1029.030546,False,False,False,True,False,True,False,True,True,True,True,True,False,True,FALSE,False,,,False,False,False,,,False,,True,Maternity,TRUE,maternity,False,True,False,False,1336060646266.jpg,8.91542063 11.78554263 507.5 5.0,False,False,FALSE,False,,,False,TRUE,,False,False,False,True,False,False,False,Zing,772,772,772.0,False,True,False,True,True,False,False,False,False,False,FALSE,zing,taraba,northeast,3,3,0.0,0.0,2.0,0.0,False,public,,False,1336060646266.jpg,127363,123.769892444,,False,False,health,False,TRUE,Taraba,False,True,Others,TRUE,taraba_zing,False,368b0769-7b52-4f46-af72-d3511fa986fd,,,368b0769-7b52-4f46-af72-d3511fa986fd,Northeast
False,1029.030546,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,MCH YAKOKO,TRUE,maternity,False,True,False,True,1336116417938.jpg,8.91934103 11.70968481 591.4000244140625 5.0,False,True,FALSE,False,True,True,False,TRUE,,False,True,False,True,True,False,False,Zing,772,772,772.0,False,True,True,True,False,False,False,False,False,False,FALSE,zing,taraba,northeast,4,3,,,11.0,,False,public,False,False,1336116417938.jpg,127363,123.769892444,True,False,False,health,False,TRUE,Taraba,False,False,Others,TRUE,taraba_zing,False,75a3c62d-f126-4844-83f7-46d9e492a027,,,75a3c62d-f126-4844-83f7-46d9e492a027,Northeast
False,1029.030546,False,False,True,True,True,True,False,True,True,True,True,True,True,True,TRUE,False,,,False,True,False,True,True,False,True,True,General hospital zing,TRUE,generalhospital,False,True,False,True,1336052171898.jpg,8.98226861 11.75416882 545.0 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Zing,772,772,772.0,False,True,True,True,True,False,False,False,False,False,FALSE,zing,taraba,northeast,0,0,2.0,4.0,9.0,,False,public,False,True,1336052171898.jpg,127363,123.769892444,True,False,False,health,True,TRUE,Taraba,True,True,Others,TRUE,taraba_zing,False,405ab395-f13f-4873-bf82-4514a10f7d82,False,False,405ab395-f13f-4873-bf82-4514a10f7d82,Northeast
,1029.030546,True,True,True,,,,,,,,,,True,True,TRUE,,,,False,True,,True,True,,,,UNITED METHODIST CHURCH GENERAL HOSPITAL. TARABA STATE NIGERIA,TRUE,primaryhealthcarecentre,,True,,True,1336376395317.jpg,9.00315366 11.7383743 569.7000122070313 5.0,,,,,,,,TRUE,True,,,,,,,,Zing,772,772,772.0,,True,,True,True,,,,,,,zing,taraba,northeast,13,13,3.0,4.0,2.0,4.0,,,,,1336376395317.jpg,127363,123.769892444,,,,health,True,,Taraba,True,True,Others,TRUE,taraba_zing,,ae0b3ada-9cf4-4b99-9266-52395a55a499,,,ae0b3ada-9cf4-4b99-9266-52395a55a499,Northeast
False,1029.030546,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,Dispensary,,healthpostdispensary,False,,False,,1336040879718.jpg,8.8467495 11.76151382 500.6000061035156 5.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Zing,772,772,772.0,False,True,False,False,False,False,False,False,False,False,FALSE,zing,taraba,northeast,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1336040879718.jpg,127363,123.769892444,,False,False,health,False,TRUE,Taraba,,,Others,FALSE,taraba_zing,False,1b8e71d4-8fc3-4b3b-80df-0d21c5e43943,,,1b8e71d4-8fc3-4b3b-80df-0d21c5e43943,Northeast
False,1029.030546,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,,,False,,True,OUT POST DISPENSARY,,healthpostdispensary,False,,False,,1336293666770.jpg,8.75712928 11.81691478 502.70001220703125 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Zing,772,772,772.0,False,True,False,False,False,False,False,False,False,False,FALSE,zing,taraba,northeast,1,1,0.0,0.0,0.0,0.0,False,public,,False,1336293666770.jpg,127363,123.769892444,False,False,False,health,False,TRUE,Taraba,,,Others,FALSE,taraba_zing,False,d1472780-1831-4348-972a-59562b098165,,,d1472780-1831-4348-972a-59562b098165,Northeast
False,1029.030546,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,,,False,,True,Dispensary,,healthpostdispensary,False,,False,,1293796499679.jpg,8.99439984 11.68611314 600.4000244140625 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Zing,772,772,772.0,False,True,False,False,False,False,False,False,False,False,FALSE,zing,taraba,northeast,6,4,0.0,2.0,0.0,0.0,False,public,False,False,1293796499679.jpg,127363,123.769892444,,False,False,health,False,TRUE,Taraba,,,Others,FALSE,taraba_zing,False,90450537-7250-40f4-8708-ce3cb2b93671,,,90450537-7250-40f4-8708-ce3cb2b93671,Northeast
False,1029.030546,False,False,False,True,False,True,False,False,True,False,False,True,,False,FALSE,False,,,False,False,False,,,False,,,Dispensitry,,healthpostdispensary,False,,False,,1336047141038.jpg,8.84685318 11.73971392 516.9000244140625 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Zing,772,772,772.0,False,False,False,False,False,False,False,False,False,False,FALSE,zing,taraba,northeast,0,0,0.0,0.0,0.0,0.0,False,public,False,False,1336047141038.jpg,127363,123.769892444,,False,False,health,False,TRUE,Taraba,,,Others,FALSE,taraba_zing,False,4c58c64f-3278-4b95-a741-7d486ff3e10a,,,4c58c64f-3278-4b95-a741-7d486ff3e10a,Northeast
False,1029.030546,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,False,False,,,False,,True,Dispensary,,healthpostdispensary,False,,False,,1293801617999.jpg,9.00813715 11.70521485 569.4000244140625 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Zing,772,772,772.0,False,True,False,False,False,False,False,False,False,False,FALSE,zing,taraba,northeast,4,3,0.0,0.0,0.0,0.0,False,public,,False,1293801617999.jpg,127363,123.769892444,False,False,False,health,False,TRUE,Taraba,,,Others,FALSE,taraba_zing,False,f1326922-3022-408f-94c9-6cce0b49cd0c,,,f1326922-3022-408f-94c9-6cce0b49cd0c,Northeast
False,1029.030546,False,False,False,False,False,False,False,False,True,True,False,True,,False,FALSE,False,,,False,False,False,,,False,,,Dispensary,,healthpostdispensary,False,,False,,1336152194701.jpg,8.87483023 11.77518171 507.8999938964844 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Zing,772,772,772.0,False,True,False,False,False,False,False,False,False,False,FALSE,zing,taraba,northeast,1,1,0.0,0.0,0.0,0.0,False,public,,False,1336152194701.jpg,127363,123.769892444,,False,False,health,False,TRUE,Taraba,,,Others,FALSE,taraba_zing,False,d7014813-3d71-4a84-b7d0-d8f4fc0e4306,,,d7014813-3d71-4a84-b7d0-d8f4fc0e4306,Northeast
False,1029.030546,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,False,False,,,False,,True,DISPENSARY OUT POST,,healthpostdispensary,False,,False,,1336230209426.jpg,8.72228967 11.77660744 1105.0999755859375 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Zing,772,772,772.0,False,True,False,False,False,False,False,False,False,False,FALSE,zing,taraba,northeast,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1336230209426.jpg,127363,123.769892444,False,False,False,health,False,TRUE,Taraba,,,Others,FALSE,taraba_zing,False,076a6eb0-8422-4279-b536-3b3b7d4b23c5,,,076a6eb0-8422-4279-b536-3b3b7d4b23c5,Northeast
,1029.030546,True,True,True,,,,,,,,,,True,True,TRUE,,,,False,True,,True,True,,,,UNITED METHODIST CHURCH GENERAL HOSPITAL. TARABA STATE NIGERIA,TRUE,primaryhealthcarecentre,,True,,True,1336376395317.jpg,9.00315366 11.7383743 569.7000122070313 5.0,,,,,,,,TRUE,True,,,,,,,,Zing,772,772,772.0,,True,,True,True,,,,,,,zing,taraba,northeast,13,13,3.0,4.0,2.0,4.0,,,,,1336376395317.jpg,127363,123.769892444,,,,health,True,,Taraba,True,True,Others,TRUE,taraba_zing,,ae0b3ada-9cf4-4b99-9266-52395a55a499,,,ae0b3ada-9cf4-4b99-9266-52395a55a499,Northeast
